No,Question,Answer
1,What is the Cylinder Block and its function?,"The cylinder block is the main structure of the engine. It houses the cylinders, coolant passages, oil galleries, and supports major components like the crankshaft and camshaft.
Function: Provides structural support and maintains alignment of moving parts.
"
2,What is the Crankshaft and what is its function?,"The crankshaft converts the reciprocating motion of the piston into rotary motion.
Function: Deliver rotational power to the transmission and accessories.
"
3,What is the Camshaft and its function?,"The camshaft controls opening and closing of intake and exhaust valves.
Function: Ensures correct valve timing for efficient combustion.
"
4,What is the Piston and its function?,"The piston moves up and down inside the cylinder during the combustion cycle.
Function: Transfers combustion force to the crankshaft via the connecting rod.
"
5,What is the Connecting Rod and its function?,"It connects the piston to the crankshaft.
Function: Transmits piston motion to the crankshaft.
"
6,What is the Cylinder Head and what does it do?,"The cylinder head sits on top of the cylinder block and contains valves, ports, and combustion chamber.
Function: Seals the combustion chamber and supports the valve mechanism.
"
7,What are Valves and their its functions?,"There are two types: Intake valve and Exhaust valve.
Function:
Intake valve: Allows air–fuel mixture (or air) into the cylinder.
Exhaust valve: Allows burned gases to exit the cylinder.
"
8,What is the Flywheel and why is its important?,"A heavy rotating component attached to the crankshaft.
Function: Smoothens engine rotation by storing rotational energy and reduces vibration.
"
9,What is the Oil Pump and its function?,"Pump that circulates lubricating oil under pressure.
Function: Lubricates moving parts and reduces wear.
"
10,What is the Fuel Injector and its function?,"A device that sprays fuel into the combustion chamber or intake port.
Function: Ensures proper fuel atomization for efficient combustion.
"
11,What is the Turbocharger and how does it work?,"A forced induction device powered by exhaust gases.
Function: Increases air intake pressure, boosts power and improves efficiency.

"
12,What is the Water Pump and its role?,"Circulates coolant through the engine and radiator.
Function: Maintains engine temperature and prevents overheating.
"
13,What is the Intake Manifold?,"A passage that distributes air (or air–fuel mixture) to the cylinders.
Function: Ensures even airflow to all cylinders.
"
14,What is the Exhaust Manifold?,"A passage that collects exhaust gases from cylinders.
Function: Directs exhaust to the turbocharger or exhaust pipe smoothly.
"
15,What is the Timing Chain/Belt?,"A drive mechanism linking the crankshaft and camshaft.
Function: Ensures precise timing of valve operation.
"
16,What is the Spark Plug (Petrol Engine)?,"A device that ignites the air–fuel mixture using electric spark.
Function: Initiates combustion.
"
17,What is the Glow Plug (Diesel Engine)?,"A heating device.
Function: Helps cold starting by warming the combustion chamber.

"
18,What is the Oil Filter’s purpose?,"Removes dirt and metal particles from engine oil.
Function: Keeps oil clean and prevents wear.
"
19,What is the Air Filter and its function?,"A filtration device for incoming air.
Function: Prevents dust from entering cylinders and damaging parts.
"
20,What is the Radiator and its function?,"A heat exchanger that cools the coolant.
Function: Controls engine temperature by transferring heat to the atmosphere.
"
21,What is the Turbo charger and its function?,"A turbocharger is a device that increases an engine’s power and efficiency by forcing more air into the combustion chamber.
How it works (simple explanation):
Exhaust gases from the engine spin a turbine.
This turbine is connected to a compressor wheel.
The compressor pulls in fresh air and compresses it.
Compressed (high-pressure) air enters the engine, allowing more fuel to burn.
More air + more fuel = more power output without increasing engine size.


"
